ok,source_path,run_id,profile_hash,n_x,n_t,x_min,x_max,z_min,z_max,t_min,t_max,Hs,Tp,t_prop,Xc_WK,has_period_var,period_len,file_size_mb
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00243.nc,input_00243,9850767d808c,966,8474,0.0,986.279296875,-2.310302734375,7.68670654296875,0.0,1270.99109,0.919672429561615,8.69565200805664,158.88026471020856,250.40250975540772,True,62,12.735
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00259.nc,input_00259,c61ad2349726,1103,8555,0.0,975.089599609375,-1.54656982421875,8.752685546875,0.0,1283.12939,1.9558687210083008,7.692307949066162,160.39130084359425,216.78489796173628,True,62,16.355
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00262.nc,input_00262,64f5d4458fdd,866,8719,0.0,1237.80615234375,-3.8333740234375,8.029296875,0.0,1307.71741,1.9906432628631592,11.764705657958984,163.47357070274293,350.59248015198995,True,62,12.63
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00265.nc,input_00265,ad1ee37f3f13,806,8094,0.0,1151.94677734375,-2.229736328125,8.1162109375,0.0,1213.97644,1.250033974647522,11.764705657958984,151.7554317859593,350.59248015198995,True,62,10.721
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00273.nc,input_00273,fd16d9948af9,1219,9047,0.0,942.6845092773438,-3.12969970703125,7.913330078125,0.0,1356.9082,1.7166931629180908,6.896552085876465,169.63122439856576,189.62044451487992,True,62,18.647
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00277.nc,input_00277,c55d2b64ddbf,914,8610,0.0,1093.2154541015625,-4.86187744140625,7.776123046875,0.0,1291.38391,0.9490446448326111,10.0,161.4237919980397,293.3601185090381,True,62,12.151
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00290.nc,input_00290,0dd352739800,866,8084,0.0,1035.7408447265625,-1.7432861328125,8.1016845703125,0.0,1212.47009,1.0158107280731201,10.0,151.55915093777077,293.3601185090381,True,62,11.288
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00307.nc,input_00307,e95e1cab5f37,879,8510,0.0,1145.9090576171875,-2.0697021484375,7.9102783203125,0.0,1276.34692,0.7056862711906433,10.810811042785645,159.55842043174914,319.7582367914217,True,62,11.73
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00322.nc,input_00322,780e11749e70,829,8437,0.0,1184.8594970703125,-2.31488037109375,7.6351318359375,0.0,1265.45398,0.4540099799633026,11.764705657958984,158.18896113218906,350.59248015198995,True,62,10.764
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00327.nc,input_00327,b70cbefddba6,835,8417,0.0,1193.4454345703125,-2.3780517578125,8.11895751953125,0.0,1262.43738,0.6694188117980957,11.764705657958984,157.81360196038852,350.59248015198995,True,62,10.806
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00330.nc,input_00330,5573d8825e90,929,8491,0.0,1111.17626953125,-2.5733642578125,8.32867431640625,0.0,1273.50378,1.635270595550537,10.0,159.1903694685888,293.3601185090381,True,62,13.219
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00334.nc,input_00334,e82adc69588e,833,8287,0.0,1190.58349609375,-3.4993896484375,8.39764404296875,0.0,1242.91858,0.5699076056480408,11.764705657958984,155.3832858054515,350.59248015198995,True,62,10.785
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00342.nc,input_00342,19c473c824c3,874,8287,0.0,1139.3834228515625,-2.06622314453125,8.49078369140625,0.0,1242.91931,1.1996408700942993,10.810811042785645,155.36701854537154,319.7582367914217,True,62,11.877
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00343.nc,input_00343,7c7dfc68973f,1000,8810,0.0,1102.8555908203125,-5.43701171875,8.35296630859375,0.0,1321.40417,0.7827459573745728,9.302325248718262,165.18877835502047,270.4700892441342,True,62,13.958
True,funwave_capstone_artifacts_v8_field\extracted_nc\E2\E2\nc_small_ali_00347.nc,input_00347,09e704d4f8a3,821,8041,0.0,1173.41162109375,-1.70196533203125,8.92901611328125,0.0,1206.03882,4.050715923309326,11.764705657958984,150.7609385060504,350.59248015198995,True,62,11.857
