run_id,profile_hash,cache_path,source_path,n_stations,nt,dt,Hs,Tp,offshore_x,offshore_depth,trim_start
input_04117,b36c28704665,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04117__d69c2ca1e4c8f307.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_04117.nc,10,1739,0.6,0.39795181155204773,9.302325248718262,348.8512268066406,7.87396240234375,194.74448674581834
input_04130,14a2aee79714,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04130__0df61e003c80fc38.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_04130.nc,10,1724,0.6,0.6836721301078796,8.69565200805664,322.9681396484375,8.6422119140625,193.45627821596256
input_03555,c5f2adbe005b,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_03555__29a5da2eba4fa1f6.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_03555.nc,10,1771,0.6,0.8661437034606934,9.302325248718262,348.8512268066406,8.34283447265625,197.444110340345
input_04210,5cc528b17524,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04210__fcff6f47ee6fa925.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_04210.nc,10,1737,0.6,1.712922215461731,14.285714149475098,556.2529907226562,7.87225341796875,194.58299268436207
input_02384,87a9922454be,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_02384__627f500543ffda6d.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_02384.nc,10,1809,0.6,0.8692095279693604,10.0,378.37469482421875,8.11798095703125,200.68598252211189
input_04293,e01012e3aa77,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04293__16c342f8285b306c.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_04293.nc,10,1647,0.6,0.8206934928894043,12.903225898742676,499.3451843261719,8.3084716796875,186.8017992603792
input_04296,b6820745c3b9,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04296__0e1ee0b53166fc6a.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_04296.nc,10,1597,0.6,0.5798391103744507,16.0,626.4285278320312,8.0400390625,182.5535120920938
input_04322,f1674f2310d0,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04322__e0e0910e7900c57c.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_04322.nc,10,1756,0.6,0.49078235030174255,8.69565200805664,322.9681396484375,8.5946044921875,196.17385440032177
input_03765,c8d6e97fdb26,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_03765__d2a99462b6df55de.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_03765.nc,10,1865,0.6,0.6506471633911133,10.0,378.37469482421875,7.79644775390625,205.48341340424457
input_04437,7b3cd29124c3,funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04437__691fa39f14c5488c.joblib,funwave_capstone_station_artifacts\extracted_nc\E2\E2\nc_small_ali_04437.nc,10,1691,0.6,1.0873308181762695,12.903225898742676,499.3451843261719,8.77557373046875,190.57199827856564
