cache_path,run_id,profile_hash,station_id,station_rank,station_label,n_samples,duration_s,depth_target,x_target,dx_to_offshore,tau_path,shoaling_gain_path,local_slope,wet_fraction,target_std,Hs,Tp
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04957__dd18aff141eb084a.joblib,input_04957,756f9f680cfc,station_07,7,h3.83m_x948.3,1874,1123.7999999999893,3.82940673828125,948.30126953125,599.4500732421875,91.24388667266378,1.154522639248401,0.029302550479769707,1.0,0.31818369030952454,1.5711770057678223,9.302325248718262
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04957__dd18aff141eb084a.joblib,input_04957,756f9f680cfc,station_08,8,h2.27m_x1023.4,1874,1123.7999999999893,2.26593017578125,1023.3704833984375,674.519287109375,104.84955425493696,1.2923099965190132,-0.05415332317352295,1.0,0.3277725279331207,1.5711770057678223,9.302325248718262
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04957__dd18aff141eb084a.joblib,input_04957,756f9f680cfc,station_09,9,h0.00m_x1098.4,1874,1123.7999999999893,0.05,1098.439697265625,749.5885009765625,130.2071834501424,3.26725422276549,0.0,0.5992529348986126,0.08575314283370972,1.5711770057678223,9.302325248718262
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04962__b226ad2907c2d7d4.joblib,input_04962,2db1a336038b,station_00,0,h7.41m_x529.5,1904,1141.7999999999893,7.4117431640625,529.4661865234375,77.2734375,9.994437639353068,1.0109342561039576,-0.020473448559641838,1.0,0.22350044548511505,0.9098992347717285,11.764705657958984
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04962__b226ad2907c2d7d4.joblib,input_04962,2db1a336038b,station_01,1,h6.93m_x605.3,1904,1141.7999999999893,6.9300537109375,605.3086547851562,153.11590576171875,20.043162468322485,1.024396299692021,-0.005224994849413633,1.0,0.2269841879606247,0.9098992347717285,11.764705657958984
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04962__b226ad2907c2d7d4.joblib,input_04962,2db1a336038b,station_02,2,h6.40m_x681.2,1904,1141.7999999999893,6.404296875,681.151123046875,228.9583740234375,30.38092711199092,1.0407429513316369,-0.002943002851679921,1.0,0.22845155000686646,0.9098992347717285,11.764705657958984
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04962__b226ad2907c2d7d4.joblib,input_04962,2db1a336038b,station_03,3,h5.74m_x757.0,1904,1141.7999999999893,5.73907470703125,756.9935302734375,304.80078125,41.12219078289333,1.0644236963831015,-0.010300477966666222,1.0,0.23287062346935272,0.9098992347717285,11.764705657958984
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04962__b226ad2907c2d7d4.joblib,input_04962,2db1a336038b,station_04,4,h5.05m_x832.8,1904,1141.7999999999893,5.04864501953125,832.8359985351562,380.64324951171875,52.410322755150624,1.0934971862075622,-0.010790941305458546,1.0,0.23642748594284058,0.9098992347717285,11.764705657958984
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04962__b226ad2907c2d7d4.joblib,input_04962,2db1a336038b,station_05,5,h4.46m_x908.7,1904,1141.7999999999893,4.4617919921875,908.678466796875,456.4857177734375,64.35368193763874,1.1229374233214093,-0.006056728307157755,1.0,0.2291041910648346,0.9098992347717285,11.764705657958984
funwave_capstone_station_artifacts\cache\processed_station_runs\nc_small_ali_04962__b226ad2907c2d7d4.joblib,input_04962,2db1a336038b,station_06,6,h4.23m_x984.5,1904,1141.7999999999893,4.2261962890625,984.5209350585938,532.3281860351562,76.7460853373111,1.1362977508924745,-0.0025804515462368727,1.0,0.22380571067333221,0.9098992347717285,11.764705657958984
